序號,單位,電話,地址,休館日,備註
1,花蓮縣文化局圖書館,8227121#506,970花蓮市文復路6號,週一/國定假日,
2,花蓮市立圖書館,8361041#11,970花蓮市國聯一路170號,週一/國定假日,~1061231閉館
3,花蓮市立圖書館兒童館,8330214#19,970花蓮市進豐街115號,週一/國定假日/1200-1400(午休), 
4,花蓮市立圖書館樂齡館,8330214#20,970花蓮市中順街77號4F,週一/國定假日/1200-1330(午休),
5,新城鄉立圖書館,8261790,971花蓮縣新城鄉大漢村光復路572號,週一/國定假日,行動書車1部
6,秀林鄉立圖書館,8611554,972花蓮縣秀林鄉秀林村秀林路66號,週六下午/週日/國定假日,行動書車2部
7,吉安鄉立圖書館,8533793#201,973花蓮縣吉安鄉吉安村中山路3段3號,週一/國定假日/ (週二、週日1700以後閉館),~1070228閉館
8,壽豐鄉立圖書館,8653632,974花蓮縣壽豐鄉壽豐村壽山路62號,週一/國定假日/1200-1330(午休),
9,鳳林鎮立圖書館,8760280,975花蓮縣鳳林鎮信義路151號,週一/國定假日/1200-1330(午休),
10,萬榮鄉立圖書館,8751447,979花蓮縣萬榮鄉萬榮村23號,週一/國定假日,
11,光復鄉立圖書館,8702111,975花蓮縣光復鄉大安村忠孝路23巷11號,週一/國定假日,
12,瑞穗鄉立圖書館,8871488,978花蓮縣瑞穗鄉中山路二段377號,週一/國定假日,
13,玉里鎮立圖書館,8882194,981花蓮縣玉里鎮民族街2號,週一/國定假日(六、日午休1hr),
14,卓溪鄉立圖書館,8880985,982花蓮縣卓溪鄉(村)中正路66-5號,國定假日,
15,富里鄉立圖書館,8832920,983花蓮縣富里鄉永安村(街)123-2號,週一/國定假日/1200-1330(午休),
16,豐濱鄉立圖書館,8791026,977花蓮縣豐濱鄉豐濱村光豐路36號,國定假日/1200-1300(午休),
