名稱,開館時間,連絡電話,地址,公私立別,網址
南投縣政府文化局圖書館,周二至周六08：30-20：30，週日08：30-17：00，週一休館,049-2221619,54050南投縣南投市中興路669號,公立,http://library.nthcc.gov.tw/library/
南投市立圖書館,周二至周日09：00-17：30，週一休館,049-2226156,54061南投縣南投市漳興里漳興巷51號,公立,
草屯鎮立圖書館,周二至周日08：00-17：30，週一休館,049-2328404,54260南投縣草屯鎮草鞋墩一街8號,公立,
名間鄉立圖書館,周二至周日09：00-17：00，週一休館,049-2734848,55142南投縣名間鄉彰南路42-2號,公立,
集集鎮文化服務所,周二至周日08：30-17：00，週一休館,049-2761477,55241南投縣集集鎮吳厝里育才街166號,公立,
水里鄉立圖書館,周二至周日09：00-17：00，週一休館,049-2773886,55343南投縣水里鄉北埔村自由路2段6號,公立,http://lib.shli.gov.tw/
中寮鄉立圖書館,周二.三.四.日09：00-17：00，周五.六09：00-21：00，週一休館,049-2693714,54155南投縣中寮鄉永平村永平路270號4樓,公立,
信義鄉立圖書館,周二至周六08：00-12：00  1300-1700，週日.週一休館,049-2791534,55646南投縣信義鄉明德村玉山路47號,公立,
仁愛鄉立圖書館,周一至周五08：00-17：00，週六.日休館,049-2803415,54641南投縣仁愛鄉大同村仁和路59號,公立,
竹山鎮立圖書館,周三至周一08：00-17：00，週二休館,049-2645530,55757南投縣竹山鎮公所路120號,公立,
鹿谷鄉立圖書館,周二至周日09：00-17：00，週一休館,049-2755310,55842南投縣鹿谷鄉廣興村興產路96-4號,公立,
魚池鄉立圖書館,周二至周日08：00-17：00，週一休館,049-2897450,55541南投縣魚池鄉秀水路233號,公立,
埔里鎮立圖書館,周二至周日09：00-18：00(2.3樓中午12:00-13:00休館)，週一休館,049-2420401,54554南投縣埔里鎮六合路178號,公立,
國姓鄉立圖書館,周二至周日08：30-17：00，週一休館,049-2724383,54443南投縣國姓鄉國姓路267號5樓,公立,
國立公共資訊圖書館中興分館,周二至周六09：00-21：00，週日09：00-17：00，週一休館,04-22625100轉5127,540南投縣南投市中興新村光華路 123 號,公立,http://www.nlpi.edu.tw/
欣榮紀念圖書館暨玉蘭文化會館,周二至周日09：00-21：00，週一休館,049-2637666,557南投縣竹山鎮大勇路26號,私立,http://hsinrong.org/
